Search Parameters;Year;Month;Day;Location Name;Latitude;Longitude;Mag;population_touchee;accessibilite
;1961;11;15;JAPAN:  SE. HOKKAIDO ISLAND;42.7;145.7;;5000;0.7
;1961;12;20;COLOMBIA: EJE CAFETERO;4.49;-75.51;6.8;5000;0.4
;1962;1;7;BALKANS NW:  CROATIA;43.3;17.1;5.9;5000;0.7
;1962;1;11;BALKANS NW:  CROATIA;43.3;17.1;6.1;15000;0.7
;1962;2;14;CHILE:  CENTRAL;-37.8;-72.5;7.3;5000;0.6
;1962;2;18;TUNISIA:  GAFOUR,OUM-ZID,EL AKHOUAT;36.0;9.0;5.3;5000;0.6
;1962;3;12;COSTA RICA-PANAMA;8.008;-82.757;6.8;15000;0.4
;1962;3;18;ALBANIA;40.9;19.5;6.0;12000;0.6
;1962;3;18;CHINA:  GUANGDONG PROVINCE;23.72;114.67;6.1;10000;0.6
;1962;4;1;IRAN:  MUSSAVIEH;33.32;58.845;5.8;2000;0.4
;1962;4;12;JAPAN:  SANRIKU;38.073;142.741;7.2;3000;0.6
